"Tax, Accounting, Payroll Usage",Percentile Rank Session Length
70,49
47,49
95,85
80,67
60,67
78,59
13,18
40,61
49,73
73,48
69,27
46,65
25,11
11,1
72,52
32,42
85,89
15,11
54,87
48,55
84,82
71,87
56,97
71,59
57,100
75,45
20,19
63,50
23,13
70,21
49,65
59,99
2,0
64,72
74,64
62,35
46,31
40,29
83,59
87,67
66,68
35,42
52,99
61,65
56,62
65,93
62,70
77,90
44,29
81,51
4,9
66,67
26,5
10,22
19,5
92,71
78,32
52,97
58,63
56,92
97,85
63,42
64,40
70,25
54,71
1,1
75,47
83,73
59,40
46,19
79,65
78,51
44,50
20,12
61,59
23,18
59,57
84,74
54,21
69,67
68,58
60,86
17,21
46,19
42,53
69,75
55,26
59,33
53,6
8,7
47,77
28,27
41,19
65,58
53,41
79,69
17,26
50,93
51,86
44,34
34,18
48,16
22,2
85,63
84,51
51,82
56,12
49,79
92,99
36,42
48,45
29,32
83,79
38,6
61,25
20,1
15,14
66,96
54,15
85,89
32,24
59,99
69,34
36,11
56,61
90,75
25,41
94,98
47,1
56,29
83,62
66,46
49,48
78,77
72,89
54,0
62,50
68,80
61,35
27,29
27,17
47,59
56,52
66,94
80,99
71,76
39,20
59,69
23,5
68,48
63,20
50,12
44,9
41,68
77,97
40,64
32,3
50,83
66,81
60,85
66,47
13,8
69,35
53,80
48,60
18,2
6,6
72,92
19,25
82,84
84,47
53,3
72,84
53,93
70,57
64,56
65,18
62,47
76,100
61,28
74,47
60,82
76,48
68,80
57,86
53,75
58,86
69,43
34,29
42,4
84,75
14,24
63,88
74,83
25,41
78,77
51,92
40,24
87,77
60,69
34,35
46,63
51,31
66,64
50,16
54,30
72,36
46,37
70,29
18,25
64,66
74,77
47,21
51,52
49,28
74,54
62,61
15,30
53,48
33,32
46,49
74,38
11,26
53,52
84,52
87,86
60,72
28,12
7,8
87,71
68,56
60,59
67,99
72,59
42,73
93,81
51,42
27,13
88,85
51,10
51,72
69,54
21,9
41,46
56,5
89,97
70,76
64,25
80,92
57,7
88,75
38,23
52,11
45,54
39,5
38,7
69,82
87,75
68,94
57,63
39,32
33,6
87,86
85,91
75,79
72,47
44,24
69,67
12,30
44,49
33,25
62,59
20,21
72,40
57,71
59,72
45,26
56,68
78,51
30,4
42,68
40,66
40,4
55,97
28,17
89,80
43,78
61,45
40,77
37,36
19,30
81,69
61,46
47,60
84,58
15,16
80,54
65,60
40,42
41,53
45,11
82,74
90,95
12,11
86,85
73,41
59,8
74,59
75,46
57,46
87,67
10,3
77,76
58,34
54,2
38,6
22,0
74,75
41,4
54,95
76,42
65,48
66,20
59,38
53,7
55,15
56,74
63,43
59,24
79,68
25,40
46,42
63,35
77,46
62,94
46,42
65,17
56,18
20,2
32,16
87,87
52,48
77,56
80,99
44,2
47,22
60,21
44,70
74,74
90,69
66,54
60,59
0,8
70,72
48,7
58,18
65,63
80,49
2,7
76,85
86,92
50,4
46,79
85,66
88,92
75,68
52,6
69,81
27,13
46,9
90,66
88,90
71,67
44,61
57,84
19,16
48,26
58,13
47,4
91,95
67,19
79,86
80,46
53,4
83,80
68,29
13,2
70,19
90,69
52,1
72,37
56,52
65,40
23,32
78,72
82,56
67,66
45,73
41,10
61,34
8,5
62,18
70,49
67,100
72,66
31,9
52,65
46,41
51,82
1,8
74,39
72,47
52,85
62,87
18,18
52,93
47,72
65,13
37,37
68,98
83,49
45,67
44,74
80,63
77,41
67,63
41,62
51,98
57,26
87,77
29,24
37,21
61,59
47,32
50,48
43,77
60,100
58,36
56,10
67,39
20,42
83,49
90,81
73,61
70,10
38,22
10,14
75,82
20,0
52,98
31,44
73,78
66,94
23,35
79,51
89,78
49,4
64,56
63,30
48,31
82,52
54,44
62,38
43,78
51,70
69,44
78,53
65,34
22,22
24,13
20,38
13,16
68,31
20,7
65,32
58,10
36,2
44,66
27,42
63,39
49,56
74,49
63,44
11,1
57,75
69,46
83,57
53,36
53,89
64,63
95,82
89,91
62,57
46,50
70,88
63,48
63,94
78,94
61,19
69,27
59,51
20,24
54,8
83,65
45,65
80,47
77,61
83,94
71,91
69,77
52,71
73,44
24,5
42,3
56,72
39,1
57,84
41,14
22,42
61,82
83,72
65,64
50,31
86,83
59,93
43,67
15,20
67,98
59,49
43,23
68,86
77,44
92,94
58,65
43,8
97,92
80,49
13,7
50,8
14,22
48,67
57,57
17,20
72,39
71,89
18,1
79,92
43,54
29,19
44,47
90,70
29,31
53,56
42,66
22,15
12,20
58,1
61,20
81,67
63,68
71,75
23,20
17,22
49,3
46,19
65,57
71,69
30,11
86,93
52,97
94,86
34,15
36,5
68,35
74,41
96,82
46,6
93,96
52,64
73,73
18,27
67,39
69,87
64,17
84,64
73,88
33,41
51,19
90,99
68,30
82,97
96,88
35,42
49,51
52,37
25,13
40,36
36,34
61,43
45,20
71,99
32,22
62,46
48,57
76,64
45,55
69,89
61,59
20,3
48,11
55,35
36,34
40,33
41,66
37,12
53,11
38,3
47,74
51,61
54,67
55,99
57,1
60,34
57,63
28,2
59,79
91,91
42,45
2,4
48,0
61,63
51,26
96,85
19,11
69,97
53,94
53,16
19,7
52,54
48,14
59,73
56,86
85,58
53,29
57,42
48,51
84,96
53,86
83,67
53,77
96,94
40,33
84,69
81,70
92,81
56,87
42,66
65,44
70,39
93,84
63,34
51,60
47,63
47,46
48,18
91,90
40,45
53,41
65,78
40,16
55,68
61,17
52,32
58,51
47,45
67,75
86,86
76,48
81,49
94,99
10,18
83,54
50,90
26,12
35,23
3,6
53,40
11,22
56,83
80,92
12,9
69,52
94,87
68,54
40,72
71,43
73,43
78,58
59,12
78,79
53,2
64,91
57,74
67,18
55,65
69,72
93,82
72,97
16,9
82,85
73,36
25,13
83,60
47,7
73,69
77,45
53,22
64,47
62,90
55,47
65,34
75,71
58,43
50,100
74,51
64,55
83,79
74,52
64,84
42,20
50,5
23,9
42,42
89,88
90,68
52,94
48,50
55,57
51,96
12,22
88,69
40,55
63,42
84,87
54,42
59,83
34,35
12,9
61,13
19,6
46,18
53,87
82,62
27,10
68,42
57,67
94,81
54,33
69,90
47,25
58,98
40,6
11,12
34,37
13,16
46,13
85,72
24,23
66,36
81,67
33,35
46,44
53,46
61,18
75,42
37,43
78,74
22,35
14,28
79,69
66,75
35,37
48,55
24,32
86,67
52,78
12,28
68,37
62,16
50,13
59,47
55,61
76,30
56,9
62,93
58,54
46,27
96,91
49,36
53,66
64,63
74,75
98,92
53,72
31,30
65,46
98,92
32,8
57,92
53,44
62,31
63,44
54,85
62,84
40,10
77,66
67,89
25,35
76,63
76,32
67,40
82,83
95,98
56,99
59,94
38,32
91,83
13,15
78,99
79,81
61,19
73,85
63,22
44,55
25,40
38,11
40,65
96,81
55,62
61,25
70,26
55,9
26,42
72,46
52,77
67,78
67,66
53,87
71,84
39,33
66,36
65,20
23,4
65,21
38,43
47,43
52,30
78,46
67,80
42,1
67,92
43,58
37,28
2,2
44,27
12,2
21,20
58,13
18,14
74,33
65,32
28,35
59,65
88,71
84,100
53,97
72,48
66,40
59,9
40,74
95,95
66,55
27,27
76,30
67,89
30,43
91,94
66,92
92,79
33,23
43,62
90,99
80,98
53,65
51,97
91,100
12,14
10,23
88,97
53,98
84,92
68,20
63,93
55,74
69,97
66,93
58,59
78,42
75,43
52,20
64,44
82,50
59,44
78,42
64,11
47,17
52,57
58,81
25,15
57,50
43,11
90,75
97,99
54,11
21,19
29,35
46,31
27,6
14,10
81,82
43,20
31,18
67,54
21,45
19,21
45,21
25,0
97,94
59,34
54,52
63,66
67,50
10,11
33,9
35,31
56,56
44,10
35,27
90,80
17,18
56,92
12,25
44,57
40,15
84,59
7,6
34,4
12,18
68,52
27,40
65,61
26,44
78,56
63,86
88,88
58,99
60,5
86,78
51,4
50,98
76,59
44,77
68,52
29,29
46,76
76,31
75,52
76,94
57,94
72,58
61,67
71,97
57,23
22,27
50,24
39,33
52,94
69,100
66,96
48,23
51,89
29,5
54,11
63,58
40,59
80,52
41,49
41,49
80,85
22,31
43,17
48,64
33,37